date,num_words,num_secs,elapsed_secs,wpm,accuracy,std_dev
Fri Mar 24 15:51:03 2023,15,,11.75,62,82,3.45
Fri Mar 31 10:47:59 2023,15,,16.51,48,99,2.82
Fri Mar 31 10:48:12 2023,15,,8.24,92,100,2.63
Tue Apr 11 14:24:02 2023,15,,13.65,65,95,2.98
Tue Apr 11 14:24:27 2023,15,,10.53,84,100,2.42
Tue Apr 11 14:24:45 2023,15,,12.55,74,91,2.35
Tue Apr 11 14:25:01 2023,15,,11.89,78,100,2.53
Tue Apr 11 14:25:14 2023,15,,9.80,69,89,2.99
Tue Apr 11 14:25:26 2023,15,,11.11,72,100,1.92
Tue Apr 11 14:25:42 2023,15,,10.22,84,100,2.29
Thu Apr 13 15:38:59 2023,13,,7.43,101,100,1.64
Sat Apr 15 13:34:43 2023,13,,7.40,96,100,2.26
Sat Apr 15 14:35:11 2023,13,,8.55,87,100,1.87
Sat Apr 15 14:35:29 2023,13,,10.32,82,97,2.79
Sat Apr 15 15:20:37 2023,13,,7.10,92,100,0.90
Sat Apr 15 15:21:29 2023,13,,10.59,75,100,1.72
Sat Apr 15 15:20:37 2023,13,,7.10,92,100,0.90
Sat Apr 15 15:35:53 2023,13,,9.50,95,100,1.89
Sat Apr 15 15:42:31 2023,13,,6.64,110,100,0.47
Sat Apr 15 15:42:47 2023,13,,6.85,112,97,1.80
Sat Apr 15 15:43:10 2023,13,,9.42,82,96,2.62
Sat Apr 15 15:45:46 2023,13,,8.33,90,100,2.06
Sat Apr 15 15:47:05 2023,13,,14.98,52,84,2.63
Sat Apr 15 15:47:27 2023,13,,8.68,100,100,1.22
Sat Apr 15 15:47:51 2023,13,,7.40,105,100,1.48
Sat Apr 15 15:55:45 2023,13,,7.35,98,100,2.19
Sat Apr 15 15:56:06 2023,13,,7.97,95,97,3.06
Sat Apr 15 15:57:36 2023,13,,8.44,92,100,2.40
Sat Apr 15 15:57:56 2023,13,,11.96,69,99,2.89
Sat Apr 15 15:58:09 2023,13,,8.58,88,100,2.12
Sat Apr 15 16:00:23 2023,13,,8.65,88,100,1.64
Sat Apr 15 16:08:11 2023,13,,10.47,69,90,3.22
Sat Apr 15 17:34:31 2023,13,,7.72,98,98,2.37
Sat Apr 15 17:34:47 2023,13,,8.61,87,98,3.43
Sat Apr 15 17:34:59 2023,13,,7.91,113,100,1.59
Sat Apr 15 17:36:48 2023,13,,6.66,105,100,1.34
Sat Apr 15 17:37:01 2023,13,,9.32,81,97,2.58
Sat Apr 15 17:37:11 2023,13,,7.22,90,98,2.39
Sat Apr 15 17:37:22 2023,13,,7.45,95,97,1.59
Sat Apr 15 17:37:35 2023,13,,10.43,69,86,2.89
Sat Apr 15 17:37:58 2023,13,,11.70,68,96,3.38
Sat Apr 15 17:38:08 2023,13,,7.92,92,100,2.66
Sat Apr 15 17:38:21 2023,13,,9.05,86,100,1.62
Sat Apr 15 17:38:34 2023,13,,8.46,79,98,3.28
Sat Apr 15 17:38:47 2023,13,,7.62,75,93,2.66
